,time,heart_rate,rr_interval,current_state
0,0.0,118,514,0
1,0.9897303581237793,119,527,0
2,2.0242743492126465,118,560,0
3,3.0173327922821045,118,634,0
4,4.003644704818726,117,603,0
5,4.994094610214233,114,561,0
6,5.984066486358643,113,536,0
7,7.019583463668823,114,547,0
8,8.01013708114624,113,597,0
9,9.000498294830322,109,609,0
10,9.990593433380127,105,641,0
11,11.026012897491455,103,593,0
12,12.015703201293945,106,535,0
13,13.006244897842407,110,517,0
14,13.996989965438843,113,520,0
15,14.986130475997925,114,562,0
16,16.02118945121765,113,558,0
17,17.018043279647827,112,547,0
18,18.001863718032837,113,531,0
19,18.992128372192383,114,533,0
20,20.026741981506348,114,540,0
21,21.01759648323059,114,540,0
22,22.05246877670288,113,579,0
23,23.042860507965088,110,569,0
24,24.077552795410156,111,521,0
25,25.023481607437134,115,499,0
26,26.013071537017822,118,499,0
27,27.0037899017334,120,496,0
28,27.99323320388794,121,510,0
29,29.02947163581848,120,532,0
30,30.01892852783203,118,519,0
31,31.00944995880127,118,522,0
32,31.999913215637207,118,511,0
33,32.989909410476685,120,490,0
34,34.02505278587341,121,489,0
35,35.0154242515564,122,508,0
36,36.00459122657776,115,623,0
37,36.99541521072388,108,647,0
38,38.030495405197144,104,607,0
39,39.02013278007507,105,558,0
40,40.01048445701599,107,573,0
41,41.00157165527344,105,615,0
42,41.992337226867676,104,562,0
43,43.02704191207886,106,543,0
44,44.016491651535034,109,551,0
45,45.0061674118042,108,686,0
46,45.99727416038513,103,671,0
47,47.03247666358948,100,664,0
48,48.02249455451965,98,633,0
49,49.01230978965759,99,578,0
50,50.00282144546509,104,528,0
51,50.992719888687134,107,521,0
52,52.02833819389343,111,565,0
53,53.01800799369812,112,778,0
54,54.00817561149597,113,785,0
55,54.999372720718384,111,762,0
56,56.033714294433594,106,695,0
57,57.02391195297241,102,605,0
58,58.013978481292725,102,545,0
59,59.00581097602844,106,532,0
60,59.99532866477966,108,586,0
61,61.030131816864014,110,758,0
62,62.02039670944214,110,728,0
63,63.01058840751648,109,706,0
64,64.00102949142456,108,623,0
65,65.03548550605774,107,559,0
66,66.02660512924194,108,570,0
67,67.01636409759521,108,632,0
68,68.00866079330444,104,694,0
69,68.9967155456543,95,719,0
70,70.03149151802063,94,661,0
71,71.02184200286865,94,650,0
72,72.05695843696594,95,609,0
73,73.04825472831726,96,573,0
74,74.03751945495605,100,566,0
75,75.02794885635376,101,624,0
76,76.01844263076782,99,728,0
77,77.00794720649719,96,722,0
78,77.99853849411011,93,697,0
79,79.03365707397461,93,627,0
80,80.02387022972107,96,582,0
81,81.01421356201172,98,560,0
82,82.00792098045349,100,580,0
83,83.03938961029053,101,667,0
84,84.02947354316711,98,749,0
85,85.0193121433258,90,748,0
86,86.01032495498657,89,678,0
87,87.00070977210999,90,593,0
88,88.03514838218689,93,570,0
89,89.02608370780945,96,567,0
90,90.01522326469421,99,615,0
91,91.00628447532654,98,731,0
92,92.04109168052673,94,734,0
93,93.03138089179993,91,691,0
94,94.02073526382446,91,622,0
95,95.01168179512024,93,582,0
96,96.00479984283447,98,548,0
97,97.03707265853882,101,607,0
98,98.02678966522217,100,731,0
99,99.0174560546875,96,653,0
100,100.00808477401733,99,550,0
101,101.0453143119812,107,519,0
102,102.03336906433105,112,506,0
103,103.06803965568542,114,524,0
104,104.01487517356873,114,566,0
105,105.00361180305481,110,632,0
106,106.03836822509766,106,589,0
107,107.02850437164307,107,545,0
108,108.01900267601013,108,542,0
109,109.00975632667542,110,559,0
110,110.04418659210205,109,568,0
111,111.03454303741455,109,620,0
112,112.0266318321228,105,658,0
113,113.01505255699158,103,651,0
114,114.00588059425354,100,621,0
115,115.04038667678833,100,607,0
116,116.03085708618164,100,641,0
117,117.02075791358948,99,637,0
118,118.01094484329224,98,678,0
119,119.04567694664001,96,673,0
120,120.03614163398743,95,635,0
121,121.02682423591614,96,634,0
122,122.06151962280273,96,636,0
123,123.05250239372253,98,595,0
124,124.04224061965942,99,613,0
125,125.03176403045654,99,610,0
126,126.02227139472961,100,609,0
127,127.01275730133057,100,644,0
128,128.0471751689911,99,612,0
129,129.03844952583313,100,589,0
130,130.02812480926514,103,560,0
131,131.01990127563477,104,550,0
132,132.00831532478333,106,575,0
133,133.04390025138855,105,673,0
134,134.03417563438416,100,696,0
135,135.02389311790466,98,719,0
136,136.01349592208862,94,673,0
137,137.09476852416992,94,625,0
138,138.03994727134705,97,579,0
139,139.03008890151978,101,550,0
140,140.01986122131348,103,574,0
141,141.0111813545227,105,581,0
142,142.04531288146973,105,633,0
143,143.03580975532532,102,657,0
144,144.02576327323914,101,601,0
145,145.0162696838379,101,613,0
146,146.05122470855713,101,589,0
147,147.04162311553955,102,569,0
148,148.03204774856567,104,574,0
149,149.02163290977478,107,527,0
150,150.0119969844818,110,521,0
151,151.0470666885376,113,538,0
152,152.03751397132874,112,556,0
153,153.02737522125244,112,529,0
154,154.06322264671326,115,498,0
155,155.05313110351562,118,495,0
156,156.08805584907532,121,487,0
157,157.0326590538025,123,483,0
158,158.0243697166443,125,478,0
159,159.01363515853882,126,479,0
160,160.04890203475952,127,473,0
161,161.04002380371094,129,466,0
