trailer,genre,likes_this_genre,sd_ratio,valence,arousal,will_watch,cat_will_watch,already_watched_trailer,already_watched_film
21,scifi,-1,4.002740999322431,6,5,0.5,1,0,0
1,action,1,2.344201368517655,7,4,0.7,1,0,0
2,action,1,2.6131870952402347,3,4,0.2,0,0,0
3,action,1,2.802902694409648,4,4,0.7,1,0,0
4,comedy,1,2.385733665715069,8,8,0.9,1,0,0
5,comedy,1,2.5420220109897453,7,7,0.7,1,0,0
6,comedy,1,2.453062318047769,8,1,0.9,1,0,0
7,drama,-1,2.5882698852114974,7,4,0.7,1,0,0
8,drama,-1,2.9010081429799306,3,2,0.2,0,0,0
9,drama,-1,3.0710520154072314,2,2,0.1,0,0,0
10,history,1,2.239568933087151,8,7,0.7,1,0,0
11,history,1,2.8441050443481424,1,1,0.0,0,0,0
12,history,1,2.184793490370884,2,5,0.3,0,0,0
13,horror,0,1.7188453956046563,4,2,0.4,0,0,0
14,horror,0,2.227883001524235,7,7,0.6,1,0,0
15,horror,0,2.112338891261252,7,8,0.7,1,0,0
16,romance,-1,2.561852036739636,2,1,0.1,0,0,0
17,romance,-1,2.222430542769591,5,5,0.4,0,0,0
18,romance,-1,2.568431176897324,1,2,0.1,0,0,0
19,scifi,1,2.905019122884076,8,9,0.9,1,0,0
20,scifi,1,3.3779711571890614,6,3,0.7,1,0,0
21,scifi,1,2.637071295875208,8,7,0.6,1,0,0
1,action,1,3.604469180535822,3,6,0.1,0,1,0
2,action,1,2.9425931627642763,2,2,0.0,0,0,0
3,action,1,2.822876039764724,6,2,0.0,0,0,0
4,comedy,1,3.2044961939015626,3,7,0.0,0,0,0
5,comedy,1,3.714604085507188,8,8,0.1,0,1,0
6,comedy,1,3.220604349065138,7,6,0.1,0,0,0
7,drama,1,3.832204114634157,2,3,1.0,1,1,1
8,drama,1,3.218124027005267,2,6,0.0,0,0,0
9,drama,1,3.497764678864807,1,7,0.2,0,1,0
10,history,0,3.622038428231345,2,7,0.0,0,0,0
11,history,0,3.3040709709299985,6,2,0.0,0,0,0
12,history,0,3.431897527733075,2,3,0.0,0,0,0
13,horror,0,3.961757264761377,3,4,0.0,0,0,0
14,horror,0,3.466884151507971,3,6,0.0,0,0,0
15,horror,0,4.154020870013643,6,6,0.0,0,0,0
16,romance,0,3.4588055916865104,5,7,0.0,0,0,0
17,romance,0,4.02797823762643,2,2,0.0,0,0,0
