trailer,genre,likes_this_genre,sd_ratio,valence,arousal,will_watch,cat_will_watch,already_watched_trailer,already_watched_film
18,romance,1,1.839412447893373,5,2,0.1,0,0,0
7,drama,0,1.6411391768389925,3,2,0.3,0,0,0
8,drama,0,1.5180194331533097,4,6,0.9,1,0,0
9,drama,0,1.475565862476002,2,6,0.8,1,0,0
10,history,-1,1.3987900660312726,7,2,0.0,0,0,0
11,history,-1,1.3481254015838071,8,1,0.3,0,0,0
12,history,-1,1.897792421424694,7,9,1.0,1,0,0
16,romance,1,1.5567317865996146,8,5,1.0,1,0,0
17,romance,1,1.5595546120673287,9,1,1.0,1,0,0
18,romance,1,1.3554364117374904,3,4,0.0,0,0,0
7,drama,-1,2.463889594596691,5,2,0.9,1,0,0
8,drama,-1,2.5790788246081147,5,1,0.4,0,0,0
9,drama,-1,2.204741526847782,3,2,0.3,0,0,0
10,history,0,2.165700690342798,9,4,0.7,1,0,0
11,history,0,1.9483307825665632,5,1,0.1,0,0,0
12,history,0,1.1638474759170645,6,1,0.8,1,0,0
16,romance,-1,1.6566402347713889,5,1,0.0,0,0,0
17,romance,-1,2.297117505918466,5,1,0.0,0,0,0
18,romance,-1,2.400713058618621,5,1,0.1,0,0,0
7,drama,0,2.396622183214567,3,7,0.7,1,0,0
8,drama,0,2.4706587770808066,4,5,0.3,0,0,0
9,drama,0,2.6116998086082863,3,4,0.7,1,0,0
10,history,1,2.347654293342788,5,5,0.2,0,0,0
11,history,1,2.691818264532857,7,3,0.6,1,0,0
12,history,1,3.498636067887298,6,2,0.4,0,0,0
16,romance,1,2.40397621344837,7,3,0.6,1,0,0
17,romance,1,2.4472524461618264,7,3,0.6,1,0,0
18,romance,1,2.507042913571177,5,5,0.3,0,0,0
7,drama,0,1.807617408117278,7,7,0.7,1,0,0
8,drama,0,2.4651669920788613,4,2,0.3,0,0,0
9,drama,0,2.277273733837014,3,1,0.1,0,0,0
10,history,-1,2.014902373658109,7,8,0.9,1,0,0
11,history,-1,1.7337639209450926,5,1,0.0,0,0,0
12,history,-1,2.8033227572344823,6,2,0.5,1,0,0
16,romance,0,2.9367981952346063,5,1,0.1,0,0,0
17,romance,0,2.1448940933978764,3,5,0.0,0,0,0
18,romance,0,2.425596122745574,5,1,0.0,0,0,0
8,drama,0,1.956903410259749,5,2,0.0,0,0,0
9,drama,0,2.355860884905523,3,6,0.4,0,0,0
11,history,-1,2.4550746199269096,8,1,0.0,0,0,0
12,history,-1,2.427167875383548,8,6,0.9,1,0,0
18,romance,0,2.987360859965499,6,2,0.0,0,0,0
7,drama,0,2.215406943993228,4,2,0.7,1,1,0
8,drama,0,2.510531366454748,5,2,0.1,0,0,0
9,drama,0,2.197015989498035,2,7,0.8,1,0,0
10,history,-1,1.2663166647362227,7,2,0.5,1,0,0
11,history,-1,3.646893001480561,7,2,0.5,1,0,0
12,history,-1,1.8120273495265384,6,2,0.3,0,0,0
16,romance,1,1.614286961807629,8,2,1.0,1,1,1
17,romance,1,1.72367955599532,8,2,0.7,1,0,0
18,romance,1,2.747244298368204,5,2,0.8,1,0,0
7,drama,0,2.577584710586224,1,7,0.7,1,0,0
8,drama,0,1.7877922227658576,5,3,0.4,0,0,0
9,drama,0,2.4175894617850298,2,6,0.6,1,0,0
10,history,1,2.2785870177916503,5,2,0.1,0,0,0
11,history,1,1.9160866041367228,7,4,0.9,1,0,0
12,history,1,2.817919196031908,7,6,0.8,1,0,0
16,romance,1,1.9405597773094423,6,7,0.6,1,0,0
17,romance,1,2.3826678314689618,5,3,0.5,1,0,0
18,romance,1,1.6121753696686338,4,3,0.5,1,0,0
7,drama,1,2.2705475898511724,2,5,0.9,1,0,0
8,drama,1,2.416727540103956,3,5,0.4,0,0,0
9,drama,1,2.820805999513616,2,5,0.9,1,0,0
10,history,0,2.6508645660050147,5,4,0.4,0,0,0
11,history,0,1.7668525499483567,8,2,0.8,1,0,0
12,history,0,2.03579984127607,7,7,0.8,1,0,0
16,romance,1,1.869938563402102,7,8,0.8,1,0,0
17,romance,1,1.930501267695988,7,3,0.7,1,0,0
18,romance,1,1.891780296119677,5,3,0.5,1,0,0
